Name,Tags,vCPU,RAM (GB),CPU Max Clock (GHz),On-demand hourly,1Yr. reserved hourly,On-demand Monthly,Reserved Monthly,Network Speed,CPU Type
t3.nano,general-purpose,2,0.5,3.1,0.0052,0.0033,$3.80,$2.41,Up to 5 Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
t3.micro,general-purpose,2,1.0,3.1,0.0104,0.0065,$7.59,$4.75,Up to 5 Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
t3.small,general-purpose,2,2.0,3.1,0.0208,0.0130,$15.18,$9.49,Up to 5 Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
t3.medium,general-purpose,2,4.0,3.1,0.0416,0.0261,$30.37,$19.05,Up to 5 Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
c5.large,compute-optimized,2,4.0,3.6,0.0850,0.0540,$62.05,$39.42,Up to 10Gbps,3.6 GHz Intel Xeon 2nd Gen. OR 3.4 Ghz 1st Gen Xeon 
m5.large,general-purpose,2,8.0,3.1,0.0960,0.0600,$70.08,$43.80,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
r5.large,memory-optimized,2,16.0,3.1,0.1260,0.0790,$91.98,$57.67,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
c5.xlarge,compute-optimized,4,8.0,3.6,0.1700,0.1070,$124.10,$78.11,Up to 10Gbps,3.6 GHz Intel Xeon 2nd Gen. OR 3.4 Ghz 1st Gen Xeon
m5.xlarge,general-purpose,4,16.0,3.1,0.1920,0.1210,$140.16,$88.33,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
r5.xlarge,memory-optimized,4,32.0,3.1,0.2520,0.1590,$183.96,$116.07,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
c5.2xlarge,compute-optimized,8,16.0,3.6,0.3400,0.2140,$248.20,$156.22,Up to 10Gbps,3.6 GHz Intel Xeon 2nd Gen. OR 3.4 Ghz 1st Gen Xeon 
m5.2xlarge,general-purpose,8,32.0,3.1,0.3840,0.2420,$280.32,$176.66,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
r5.2xlarge,memory-optimized,8,64.0,3.1,0.5040,0.3180,$367.92,$232.14,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
c5.4xlarge,compute-optimized,16,32.0,3.6,0.6800,0.4280,$496.40,$312.44,Up to 10Gbps,3.6 GHz Intel Xeon 2nd Gen. OR 3.4 Ghz 1st Gen Xeon 
m5.4xlarge,general-purpose,16,64.0,3.1,0.7680,0.4840,$560.64,$353.32,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
r5.4xlarge,memory-optimized,16,128.0,3.1,1.0080,0.6350,$735.84,$463.55,Up to 10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
c5.9xlarge,compute-optimized,36,72.0,3.6,1.5300,0.9640,"$1,116.90",$703.72,10Gbps,3.6 GHz Intel Xeon 2nd Gen. OR 3.4 Ghz 1st Gen Xeon 
m5.8xlarge,general-purpose,32,128.0,3.1,1.5360,0.9680,"$1,121.28",$706.64,10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor
r5.8xlarge,memory-optimized,32,256.0,3.1,2.0160,1.2700,"$1,471.68",$927.10,10Gbps,Up to 3.1 GHz Intel Xeon Platinum Processor